,open_covid_region_code,date,hospitalized_new
600,FR-17,2020-09-17,6.0
601,FR-17,2020-09-24,11.0
602,FR-17,2020-10-01,0.0
603,FR-18,2020-03-19,8.0
604,FR-18,2020-03-26,48.0
605,FR-18,2020-04-02,56.0
606,FR-18,2020-04-09,47.0
607,FR-18,2020-04-16,54.0
608,FR-18,2020-04-23,37.0
609,FR-18,2020-04-30,23.0
610,FR-18,2020-05-07,11.0
611,FR-18,2020-05-14,8.0
612,FR-18,2020-05-21,12.0
613,FR-18,2020-05-28,5.0
614,FR-18,2020-06-04,0.0
615,FR-18,2020-06-11,0.0
616,FR-18,2020-06-18,5.0
617,FR-18,2020-06-25,0.0
618,FR-18,2020-07-02,1.0
619,FR-18,2020-07-09,1.0
620,FR-18,2020-07-16,0.0
621,FR-18,2020-07-23,3.0
622,FR-18,2020-07-30,1.0
623,FR-18,2020-08-06,3.0
624,FR-18,2020-08-13,1.0
625,FR-18,2020-08-20,0.0
626,FR-18,2020-08-27,2.0
627,FR-18,2020-09-03,19.0
628,FR-18,2020-09-10,6.0
629,FR-18,2020-09-17,8.0
630,FR-18,2020-09-24,6.0
631,FR-18,2020-10-01,1.0
632,FR-19,2020-03-19,19.0
633,FR-19,2020-03-26,35.0
634,FR-19,2020-04-02,31.0
635,FR-19,2020-04-09,33.0
636,FR-19,2020-04-16,35.0
637,FR-19,2020-04-23,20.0
638,FR-19,2020-04-30,15.0
639,FR-19,2020-05-07,18.0
640,FR-19,2020-05-14,6.0
641,FR-19,2020-05-21,5.0
642,FR-19,2020-05-28,2.0
643,FR-19,2020-06-04,0.0
644,FR-19,2020-06-11,0.0
645,FR-19,2020-06-18,0.0
646,FR-19,2020-06-25,0.0
647,FR-19,2020-07-02,0.0
648,FR-19,2020-07-09,0.0
649,FR-19,2020-07-16,2.0
650,FR-19,2020-07-23,0.0
651,FR-19,2020-07-30,0.0
652,FR-19,2020-08-06,3.0
653,FR-19,2020-08-13,0.0
654,FR-19,2020-08-20,1.0
655,FR-19,2020-08-27,1.0
656,FR-19,2020-09-03,3.0
657,FR-19,2020-09-10,11.0
658,FR-19,2020-09-17,10.0
659,FR-19,2020-09-24,3.0
660,FR-19,2020-10-01,1.0
661,FR-21,2020-03-19,248.0
662,FR-21,2020-03-26,233.0
663,FR-21,2020-04-02,273.0
664,FR-21,2020-04-09,203.0
665,FR-21,2020-04-16,133.0
666,FR-21,2020-04-23,73.0
667,FR-21,2020-04-30,59.0
668,FR-21,2020-05-07,39.0
669,FR-21,2020-05-14,15.0
670,FR-21,2020-05-21,22.0
671,FR-21,2020-05-28,13.0
672,FR-21,2020-06-04,18.0
673,FR-21,2020-06-11,6.0
674,FR-21,2020-06-18,1.0
675,FR-21,2020-06-25,4.0
676,FR-21,2020-07-02,6.0
677,FR-21,2020-07-09,2.0
678,FR-21,2020-07-16,2.0
679,FR-21,2020-07-23,2.0
680,FR-21,2020-07-30,1.0
681,FR-21,2020-08-06,1.0
682,FR-21,2020-08-13,1.0
683,FR-21,2020-08-20,5.0
684,FR-21,2020-08-27,6.0
685,FR-21,2020-09-03,2.0
686,FR-21,2020-09-10,3.0
687,FR-21,2020-09-17,25.0
688,FR-21,2020-09-24,37.0
689,FR-21,2020-10-01,0.0
690,FR-22,2020-03-19,19.0
691,FR-22,2020-03-26,49.0
692,FR-22,2020-04-02,61.0
693,FR-22,2020-04-09,46.0
694,FR-22,2020-04-16,21.0
695,FR-22,2020-04-23,16.0
696,FR-22,2020-04-30,26.0
697,FR-22,2020-05-07,12.0
698,FR-22,2020-05-14,11.0
699,FR-22,2020-05-21,8.0
700,FR-22,2020-05-28,2.0
701,FR-22,2020-06-04,5.0
702,FR-22,2020-06-11,1.0
703,FR-22,2020-06-18,1.0
704,FR-22,2020-06-25,2.0
705,FR-22,2020-07-02,1.0
706,FR-22,2020-07-09,1.0
707,FR-22,2020-07-16,6.0
708,FR-22,2020-07-23,2.0
709,FR-22,2020-07-30,0.0
710,FR-22,2020-08-06,6.0
711,FR-22,2020-08-13,0.0
712,FR-22,2020-08-20,3.0
713,FR-22,2020-08-27,3.0
714,FR-22,2020-09-03,4.0
715,FR-22,2020-09-10,5.0
716,FR-22,2020-09-17,11.0
717,FR-22,2020-09-24,10.0
718,FR-22,2020-10-01,1.0
719,FR-23,2020-03-19,8.0
720,FR-23,2020-03-26,14.0
721,FR-23,2020-04-02,28.0
722,FR-23,2020-04-09,9.0
723,FR-23,2020-04-16,3.0
724,FR-23,2020-04-23,10.0
725,FR-23,2020-04-30,5.0
726,FR-23,2020-05-07,12.0
727,FR-23,2020-05-14,8.0
728,FR-23,2020-05-21,10.0
729,FR-23,2020-05-28,3.0
730,FR-23,2020-06-04,1.0
731,FR-23,2020-06-11,0.0
732,FR-23,2020-06-18,0.0
733,FR-23,2020-06-25,0.0
734,FR-23,2020-07-02,0.0
735,FR-23,2020-07-09,2.0
736,FR-23,2020-07-16,2.0
737,FR-23,2020-07-23,1.0
738,FR-23,2020-07-30,0.0
739,FR-23,2020-08-06,2.0
740,FR-23,2020-08-13,3.0
741,FR-23,2020-08-20,0.0
742,FR-23,2020-08-27,0.0
743,FR-23,2020-09-03,2.0
744,FR-23,2020-09-10,0.0
745,FR-23,2020-09-17,2.0
746,FR-23,2020-09-24,3.0
747,FR-23,2020-10-01,0.0
748,FR-24,2020-03-19,43.0
749,FR-24,2020-03-26,23.0
750,FR-24,2020-04-02,28.0
751,FR-24,2020-04-09,27.0
